name,IDs,stakeholder_categories,Contents,date
Ramin Farzaneh-Far MD,@rfsquared,,RT @Biohazard3737: @humour_humourrr Why would I want to take the risk of editing my genome if I can treat the same condition with a subQ sh…,2021-06-30T22:44:57+00:00
Daniel,@DaFWB,,Why is there still no approval by the #FDA for #leqvio (#inclisiran)? Did I miss a headline? #Cardiology #pharmacy,2021-06-30T19:42:15+00:00
Sheep of Wall Street,@Biohazard3737,"Doctor,Investor","@humour_humourrr Why would I want to take the risk of editing my genome if I can treat the same condition with a subQ shot every 6 months?

How does reimbursement look like for $VERV if you can give inclisiran every 6 months instead?",2021-06-30T14:58:54+00:00
FAMILIAL HYPERCHOLESTEROLEMIA,@VuorioAlpo,,The effectiveness and value of bempedoic acid and inclisiran for heterozygous familial hypercholesterolemia and sec… https://t.co/UoqMieiIVu,2021-06-30T13:41:47+00:00
2023年までにサブスリー,@KentaSendai,,RT @ESC_Journals: Want to know the new drugs for pharmacological treatment aimed at lowering #LDL-C? A practical summary for the clinician…,2021-06-29T14:53:57+00:00
AnnemiekeAartsma-Rus,@oligogirl,Individual Other Health,"Approved RNase H oligonucleotides: mipomersen, inotersen and valonesorsen. Approved siRNAs: patisiran, givosiran, lumasiran and inclisiran. Approved splice switchers: eteplirsen, golodirsen, casimersen and spinraza (and viltolarsen!)",2021-06-29T07:34:06+00:00
Maciej R,@realmaciej,Investor,RT @zbiotech: we're approaching Q3'21 - should finally get the FDA decision for $NVS $MDCO inclisiran post the CRL from late '20 (mfg inspe…,2021-06-28T20:19:38+00:00
yuzhu,@YuZhu4,Investor,RT @zbiotech: we're approaching Q3'21 - should finally get the FDA decision for $NVS $MDCO inclisiran post the CRL from late '20 (mfg inspe…,2021-06-28T20:05:13+00:00
zach,@zbiotech,Individual Other Health,"we're approaching Q3'21 - should finally get the FDA decision for $NVS $MDCO inclisiran post the CRL from late '20 (mfg inspection)

7.4B v well spent, ehh $NVS???",2021-06-28T20:01:43+00:00
MG,@MG32114597,,"RT @Oxford_NDPH: ORION-4 is a #clinicaltrial testing whether a new medicine called inclisiran prevents heart attacks and strokes

Find out…",2021-06-28T18:03:26+00:00
Bio God,@BioBenBaller,,"Would also note that pharmas are loading their pipelines with RNAis at early stage Rn - they are sufficiently derisked and can have similar ""almost one shot"" potency to a crispr edit 

See Inclisiran data from the medicines co / NVS. 2x a year dosing is pretty sweet.",2021-06-28T12:49:47+00:00
Oxford Impacts,@OxEngage,Org. Research/Academic,"RT @Oxford_NDPH: ORION-4 is a #clinicaltrial testing whether a new medicine called inclisiran prevents heart attacks and strokes

Find out…",2021-06-28T11:10:38+00:00
"Nicolas Renna, MD PhD ISHF",@nicolasrennamd,"Doctor,Researcher/Academic","RT @Oxford_NDPH: ORION-4 is a #clinicaltrial testing whether a new medicine called inclisiran prevents heart attacks and strokes

Find out…",2021-06-28T10:24:58+00:00
